Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,DTIRatio,HasMortgage,HasDependents,Default
59,39073.0,15560.0,635.0,98,7,12.27,39.82,0,0,0
49,60165.0,17435.0,601.0,228,6,13.55,28.98,0,1,0
35,57973.0,9341.0,791.0,41,6,13.51,16.11,0,0,0
63,65241.0,12793.0,627.0,140,7,13.35,19.61,0,1,0
28,39253.0,12013.0,753.0,163,0,19.09,30.6,1,0,0
41,47793.0,11207.0,727.0,119,4,7.53,23.45,0,1,0
59,64169.0,19431.0,633.0,140,1,6.11,30.28,0,0,1
39,77452.0,11853.0,819.0,11,1,5.27,15.3,0,1,0
43,72387.0,22123.0,671.0,36,0,17.28,30.56,1,1,0
31,56477.0,33642.0,771.0,73,4,9.91,59.57,0,0,0
31,46227.0,12931.0,762.0,72,1,13.53,27.97,0,1,0
44,62269.0,16066.0,683.0,51,3,12.54,25.8,0,0,0
56,35355.0,17656.0,710.0,198,2,9.45,49.94,1,1,0
60,40294.0,27681.0,700.0,129,2,16.41,68.7,1,0,0
44,82176.0,14421.0,558.0,55,1,12.49,17.55,1,1,1
23,62237.0,9197.0,655.0,59,5,12.05,14.78,1,1,0
42,48745.0,6136.0,736.0,22,1,13.93,12.59,1,0,0
22,69924.0,14594.0,772.0,102,7,15.88,20.87,1,0,0
44,78166.0,11861.0,592.0,39,7,9.16,15.17,0,0,0
64,46997.0,29070.0,692.0,63,11,16.49,61.86,0,1,1
50,47307.0,27389.0,662.0,230,4,18.8,57.9,1,0,0
58,45052.0,7759.0,641.0,84,9,7.3,17.22,0,1,1
22,72349.0,10025.0,678.0,150,6,14.11,13.86,0,1,0
41,72524.0,15516.0,667.0,156,3,11.78,21.39,1,0,0
53,79946.0,24781.0,693.0,205,0,15.8,31.0,0,1,0
32,73155.0,15399.0,765.0,217,10,8.13,21.05,1,0,0
42,25620.0,10469.0,713.0,178,1,19.52,40.86,1,0,0
64,60057.0,14588.0,675.0,196,9,6.57,24.29,0,1,0
45,35949.0,10601.0,799.0,222,9,12.02,29.49,1,0,0
47,45768.0,19217.0,739.0,88,3,14.74,41.99,0,0,0
62,58071.0,10037.0,643.0,30,0,10.25,17.28,0,1,0
48,70040.0,11427.0,553.0,177,7,9.63,16.31,0,0,0
36,38965.0,23134.0,571.0,19,8,13.89,59.37,1,1,1
35,15000.0,9621.0,725.0,235,3,13.31,64.14,1,1,0
64,58250.0,4877.0,600.0,182,9,13.02,8.37,0,0,0
23,102584.0,15665.0,569.0,208,2,16.43,15.27,1,0,0
57,51349.0,12477.0,589.0,236,1,11.42,24.3,0,1,0
27,55844.0,18580.0,595.0,129,4,14.28,33.27,1,0,0
41,87079.0,17222.0,718.0,152,2,10.97,19.78,0,0,0
29,65625.0,14777.0,637.0,12,9,9.6,22.52,1,1,0
59,58903.0,14573.0,540.0,121,6,11.86,24.74,0,0,0
38,62958.0,9849.0,652.0,102,10,11.0,15.64,0,1,0
24,59504.0,15583.0,668.0,219,5,11.2,26.19,0,0,0
45,34484.0,21169.0,612.0,105,0,17.66,61.39,1,0,1
34,30854.0,8186.0,742.0,118,11,11.98,26.53,0,0,0
29,88963.0,14962.0,616.0,69,7,10.35,16.82,1,1,0
46,58310.0,22269.0,739.0,194,1,13.11,38.19,0,1,0
22,56802.0,18538.0,698.0,185,4,13.42,32.64,0,1,0
40,53376.0,24166.0,724.0,98,8,8.25,45.28,0,0,0
48,69059.0,11023.0,562.0,81,7,11.81,15.96,1,0,1
27,100696.0,2185.0,658.0,74,1,11.65,2.17,0,0,0
64,64431.0,16405.0,646.0,117,8,12.31,25.46,1,0,0
28,44414.0,17538.0,536.0,83,4,15.9,39.49,1,1,1
55,52599.0,24579.0,738.0,191,9,13.55,46.73,1,1,0
34,74278.0,23317.0,585.0,68,5,17.91,31.39,0,0,1
37,44510.0,18757.0,601.0,210,2,12.95,42.14,1,1,0
56,70340.0,20358.0,569.0,213,2,20.1,28.94,1,0,0
60,15000.0,13657.0,706.0,58,9,11.16,91.05,0,1,0
24,50862.0,6466.0,528.0,187,7,9.92,12.71,1,0,1
22,66307.0,15824.0,699.0,210,10,15.19,23.86,0,0,0
26,77862.0,21878.0,734.0,125,9,18.46,28.1,0,0,0
62,40267.0,19595.0,693.0,110,9,7.48,48.66,0,0,0
24,27950.0,20837.0,707.0,61,11,12.21,74.55,0,1,0
49,50307.0,12006.0,711.0,143,1,10.56,23.87,0,0,0
38,34742.0,13141.0,574.0,127,10,13.57,37.82,0,0,0
46,52317.0,18384.0,765.0,215,11,13.04,35.14,1,1,0
64,54880.0,11174.0,613.0,104,11,18.38,20.36,0,1,0
54,31255.0,11390.0,645.0,67,1,12.57,36.44,0,1,0
30,69480.0,17086.0,623.0,14,4,18.5,24.59,0,0,0
56,52170.0,20326.0,689.0,216,5,11.74,38.96,1,1,0
34,74448.0,13603.0,607.0,235,11,16.71,18.27,1,1,0
51,21792.0,6858.0,655.0,182,1,13.91,31.47,1,0,1
35,36691.0,9849.0,551.0,34,4,19.92,26.84,1,0,1
28,64300.0,16426.0,743.0,182,6,7.09,25.55,0,0,0
34,40616.0,16341.0,704.0,13,9,8.34,40.23,1,0,0
43,52038.0,16689.0,627.0,176,9,20.33,32.07,0,0,0
60,55013.0,18649.0,612.0,210,7,10.07,33.9,0,0,0
41,57849.0,15041.0,702.0,101,11,10.32,26.0,1,1,0
36,42804.0,16855.0,593.0,99,6,9.5,39.38,0,1,0
38,57687.0,14685.0,660.0,6,7,17.59,25.46,1,1,0
44,40914.0,23041.0,743.0,29,11,7.99,56.32,1,1,0
46,67137.0,25026.0,585.0,210,8,13.09,37.28,0,0,0
45,52933.0,6677.0,679.0,48,4,11.94,12.61,0,1,0
61,57791.0,13213.0,675.0,216,4,17.15,22.86,0,1,0
49,101259.0,15229.0,642.0,143,10,10.75,15.04,1,0,0
35,35072.0,13132.0,610.0,110,9,14.66,37.44,1,1,0
21,79994.0,27550.0,747.0,231,3,8.32,34.44,0,1,0
45,15000.0,16568.0,602.0,178,8,22.1,100.0,0,1,1
27,17589.0,9362.0,505.0,71,4,12.04,53.23,1,1,1
29,32668.0,19175.0,701.0,209,1,13.04,58.7,1,0,0
44,33804.0,16897.0,554.0,219,9,19.62,49.99,0,0,1
21,58667.0,17129.0,705.0,79,7,10.65,29.2,0,0,0
64,60217.0,27655.0,757.0,82,6,19.67,45.93,1,1,0
28,50413.0,17455.0,700.0,41,7,11.35,34.62,0,1,0
44,52302.0,12874.0,736.0,16,11,15.69,24.61,0,1,0
31,64500.0,1313.0,812.0,190,2,10.71,2.04,1,0,0
37,69998.0,13842.0,727.0,172,3,7.58,19.77,1,0,0
28,31122.0,24142.0,676.0,204,4,14.66,77.57,0,1,0
55,48486.0,14362.0,781.0,6,5,15.56,29.62,0,1,0
55,53747.0,1000.0,790.0,154,0,7.74,1.86,0,0,0
53,63736.0,11511.0,792.0,9,3,11.77,18.06,0,0,0
25,41092.0,21949.0,611.0,33,10,17.8,53.41,1,1,0
62,53394.0,18821.0,542.0,35,11,15.4,35.25,0,1,1
59,55540.0,9121.0,606.0,152,9,11.42,16.42,1,0,0
61,42320.0,11043.0,706.0,5,4,10.61,26.09,1,0,0
48,41890.0,12125.0,663.0,151,6,20.79,28.94,0,1,0
27,56777.0,10361.0,633.0,145,4,7.21,18.25,0,1,0
29,52654.0,1000.0,695.0,214,0,12.76,1.9,0,0,0
28,64009.0,20345.0,532.0,133,10,7.14,31.78,1,0,1
32,36041.0,23799.0,661.0,28,6,18.26,66.03,1,1,1
54,48688.0,4371.0,739.0,125,7,12.97,8.98,0,0,0
53,50874.0,23707.0,694.0,152,6,13.71,46.6,1,0,0
43,69650.0,14279.0,705.0,182,10,24.08,20.5,1,1,0
44,38073.0,23576.0,778.0,80,3,10.63,61.92,1,0,0
57,59224.0,15266.0,645.0,173,7,19.99,25.78,0,1,0
55,59550.0,15949.0,598.0,151,4,11.44,26.78,0,0,0
64,84635.0,17607.0,745.0,74,9,12.07,20.8,1,1,0
60,36872.0,9470.0,744.0,25,8,23.55,25.68,0,0,0
42,43170.0,23363.0,695.0,126,11,12.36,54.12,0,0,0
47,38128.0,7150.0,637.0,114,11,7.5,18.75,0,0,0
55,24944.0,12186.0,650.0,125,9,14.13,48.85,0,1,1
21,86764.0,18670.0,548.0,225,4,12.31,21.52,0,1,1
55,32653.0,11436.0,739.0,27,0,14.47,35.02,1,0,0
57,40307.0,20443.0,736.0,130,11,12.47,50.72,0,1,0
34,78684.0,24631.0,545.0,74,8,21.86,31.3,0,1,1
23,23444.0,22088.0,719.0,165,11,15.23,94.22,1,1,1
21,68614.0,1447.0,682.0,188,4,8.7,2.11,0,0,0
25,29566.0,15881.0,568.0,77,5,13.5,53.71,0,1,1
46,77441.0,22201.0,554.0,178,3,9.8,28.67,1,0,1
34,15942.0,5783.0,680.0,89,5,12.01,36.28,1,0,0
59,23438.0,20065.0,618.0,175,11,9.36,85.61,1,1,1
47,45191.0,19672.0,796.0,20,7,21.43,43.53,1,1,0
29,72493.0,6515.0,726.0,53,2,10.23,8.99,0,0,0
35,54443.0,20840.0,688.0,183,4,15.75,38.28,1,0,0
35,48957.0,16909.0,692.0,102,1,11.71,34.54,0,1,0
46,79229.0,19553.0,756.0,221,1,8.37,24.68,1,1,0
62,93794.0,8236.0,718.0,58,6,13.79,8.78,0,0,0
33,67101.0,16051.0,690.0,71,9,14.6,23.92,1,1,0
52,43789.0,3066.0,572.0,178,9,15.23,7.0,1,0,1
59,47473.0,1000.0,850.0,19,10,3.0,2.11,1,0,0
52,31808.0,15986.0,562.0,111,9,8.06,50.26,0,1,1
24,56815.0,22704.0,625.0,223,5,16.83,39.96,0,0,0
50,25667.0,16771.0,518.0,213,3,9.31,65.34,1,0,1
57,64934.0,14556.0,693.0,58,4,13.81,22.42,1,1,0
43,91100.0,13687.0,662.0,70,0,7.97,15.02,0,1,0
59,67917.0,8402.0,711.0,136,6,15.93,12.37,1,0,0
35,46555.0,13447.0,511.0,108,7,16.73,28.88,1,1,1
63,64485.0,17952.0,739.0,128,8,15.93,27.84,0,1,0
49,84170.0,11953.0,585.0,156,7,17.13,14.2,1,0,0
56,83269.0,20254.0,638.0,190,4,19.26,24.32,0,1,0
33,36932.0,16372.0,725.0,199,2,8.3,44.33,0,0,0
52,64185.0,17219.0,671.0,55,9,9.85,26.83,0,0,0
27,52154.0,21221.0,677.0,195,10,16.59,40.69,1,1,0
42,69519.0,11313.0,714.0,34,8,17.52,16.27,1,1,0
48,61905.0,19616.0,684.0,122,5,10.3,31.69,0,0,1
22,15000.0,12295.0,623.0,130,4,10.02,81.97,1,0,1
62,48736.0,17377.0,637.0,236,2,10.39,35.66,1,0,0
26,58574.0,10480.0,667.0,103,5,6.58,17.89,1,0,0
48,29181.0,8625.0,578.0,6,2,7.91,29.56,0,0,1
48,65458.0,15643.0,730.0,26,9,8.01,23.9,1,0,0
64,27568.0,1804.0,673.0,0,11,11.82,6.54,0,1,1
64,40628.0,12926.0,656.0,218,5,14.08,31.82,0,0,0
40,79144.0,3755.0,745.0,207,3,14.73,4.74,0,0,0
50,39092.0,20455.0,640.0,229,1,10.97,52.33,0,1,1
31,65331.0,22351.0,635.0,198,7,11.06,34.21,1,1,1
48,23436.0,8952.0,611.0,171,3,13.49,38.2,0,0,1
45,92464.0,17998.0,677.0,86,8,7.02,19.46,1,0,0
59,49518.0,21294.0,675.0,40,6,16.84,43.0,0,1,0
53,56716.0,21317.0,597.0,122,11,18.14,37.59,0,0,1
21,58223.0,16501.0,636.0,74,1,10.5,28.34,1,0,0
47,65936.0,20140.0,597.0,41,3,11.41,30.54,1,1,1
33,27655.0,10455.0,594.0,116,4,17.97,37.81,0,0,1
61,54904.0,15582.0,512.0,160,2,12.51,28.38,0,0,1
23,43142.0,11730.0,632.0,177,8,15.35,27.19,0,0,1
59,24588.0,9863.0,514.0,62,4,12.63,40.11,0,0,1
26,72768.0,15252.0,613.0,227,1,19.23,20.96,1,0,0
28,48661.0,17433.0,601.0,164,10,14.96,35.83,1,1,0
47,59365.0,23145.0,734.0,232,2,15.19,38.99,0,0,0
29,58237.0,16856.0,569.0,186,8,15.27,28.94,1,0,1
57,48973.0,19494.0,589.0,126,6,10.78,39.81,1,0,1
53,90550.0,19573.0,619.0,208,1,11.15,21.62,0,1,0
62,54149.0,33813.0,604.0,226,8,16.08,62.44,0,1,1
