User ID,Gender,Age,EstimatedSalary,Purchased
15567334,Female,22,76000,0
15568151,Male,45,113000,0
15568551,Female,58,62000,1
15568637,Female,48,113000,1
15568927,Male,44,75000,0
15569019,Male,59,30000,1
15569258,Male,44,84000,1
15570205,Male,45,31000,0
15570636,Female,43,31000,1
15570707,Male,20,144000,1
15572283,Female,39,40000,0
15572635,Male,38,41000,0
15572790,Female,28,129000,1
15572918,Female,51,44000,1
15573112,Female,55,97000,1
15573842,Male,36,49000,0
15573925,Male,35,57000,0
15574263,Female,35,15000,1
15575981,Female,52,50000,1
15576685,Male,26,86000,0
15577431,Male,31,78000,0
15578363,Male,23,91000,0
15578618,Male,40,67000,0
15578764,Female,58,57000,1
15579463,Female,36,21000,0
15579887,Male,19,66000,0
15580639,Female,50,128000,1
15580993,Female,25,60000,0
15582091,Female,22,60000,0
15582390,Male,47,51000,0
15583091,Male,30,118000,1
15583270,Female,54,96000,1
15583678,Female,18,99000,1
15583799,Female,55,137000,1
15583881,Female,20,137000,1
15584643,Female,39,74000,0
15585381,Female,40,38000,0
15586312,Female,27,143000,1
15586558,Male,48,129000,1
15587007,Female,40,103000,1
15587650,Female,41,52000,0
15588504,Male,28,83000,0
15588955,Female,26,54000,0
15590830,Male,29,130000,1
15591638,Female,57,58000,1
15591912,Male,21,53000,0
15592173,Female,25,57000,0
15592179,Female,34,98000,1
15592484,Male,24,122000,1
15593789,Male,25,110000,1
15593925,Female,31,65000,0
15594043,Male,34,74000,0
15594160,Male,20,148000,1
15594381,Female,57,88000,1
15595405,Female,22,148000,1
15596305,Female,20,51000,0
15597293,Male,47,16000,0
15597830,Female,55,114000,1
15597903,Male,31,100000,1
15598441,Male,42,20000,0
15598466,Female,18,129000,1
15599121,Male,39,28000,0
15600220,Male,53,120000,1
15600548,Female,44,38000,0
15601168,Male,47,76000,1
15601200,Female,33,133000,1
15601300,Male,22,98000,1
15601450,Male,39,82000,0
15602081,Male,45,26000,0
15604160,Female,28,110000,1
15606034,Female,45,148000,1
15606205,Female,18,25000,0
15607572,Female,39,33000,0
15608421,Female,43,133000,1
15608668,Male,21,94000,0
15609489,Male,23,38000,0
15610097,Female,18,15000,0
15611218,Female,35,63000,0
15611928,Female,28,86000,0
15612874,Female,57,131000,0
15612899,Male,41,29000,0
15613357,Male,57,99000,0
15613507,Male,20,135000,1
15613535,Female,37,132000,1
15613937,Male,40,113000,1
15614067,Male,30,139000,1
15614797,Male,42,62000,0
15615006,Male,20,105000,1
15615186,Female,25,26000,0
15615933,Female,46,31000,0
15616378,Male,55,30000,1
15616779,Male,25,133000,1
15617689,Male,59,51000,1
15617885,Male,53,109000,1
15618245,Male,50,89000,1
15618468,Female,43,122000,1
15618981,Male,59,95000,1
15619128,Male,38,126000,1
15619479,Male,23,79000,0
15619789,Female,53,139000,1
15620148,Female,33,52000,0
15620282,Male,58,108000,1
15621049,Female,22,120000,1
15621578,Female,45,62000,0
15622034,Male,26,54000,0
15622441,Female,19,129000,1
15626058,Male,38,106000,1
15626265,Female,20,100000,1
15626904,Female,31,119000,1
15628304,Female,26,138000,1
15628359,Male,39,62000,0
15629569,Male,29,58000,0
15630212,Male,18,88000,1
15630951,Male,28,81000,0
15631207,Male,59,42000,1
15631575,Male,51,47000,1
15632490,Female,45,90000,1
15632668,Female,49,136000,1
15632989,Female,29,55000,1
15633144,Female,49,52000,1
15633473,Female,54,82000,1
15633744,Male,51,28000,1
15634808,Male,27,149000,1
15634872,Male,47,143000,1
15638830,Male,32,149000,1
15640026,Male,20,56000,0
15640090,Female,27,75000,0
15640508,Male,29,69000,0
